name,class,A,beta,gamma,t_0,tau_rise,tau_fall,extra_sigma,A_green,beta_green,gamma_green,t_0_green,tau_rise_green,tau_fall_green,extra_sigma_green
ZTF20acbekkx,SN IIn,20.141418692215524,0.007360752011265554,64.00198137392023,59117.97916606666,5.59529340893803,55.20871244186373,0.1423329390718705,1.0279046495816173,1.0337205785238441,0.8815418995926128,1.0000030278342178,0.9551703476428627,0.5213537211341934,0.8815092638658429
ZTF20acberfr,SN Ia,19.33134635550924,0.0034615942838737744,10.815305088227822,59115.07658025351,6.137170975731418,18.387953019490407,0.5236020494857248,1.0261599815623241,1.023372856132606,0.2992971521467448,1.0000022594764373,0.9528753550716363,0.5187237324667526,1.1181517344192016
ZTF20acbovrt,SN Ia,71.19635035058494,0.005097925839233932,6.369720473312853,59118.66420722013,3.0401915642806063,23.862015591453808,2.3021761000955054,1.0252045996545363,1.0294457661967555,1.020065301438736,1.000016880888412,0.9541968622947838,0.5244071548843966,1.7552072312497558
ZTF20accdijx,SN II,70.32838743623763,0.00897897405306805,64.91591387180237,59114.747746886846,7.083792712721213,108.46843521960874,1.742071509530144,1.0276586253170557,1.0329864088626706,1.411120834170853,1.0005866780674906,0.9527890185954824,0.521529691391361,1.7142938281675122
ZTF20accrldu,SN II,18.936654101089925,0.004296872026690519,11.846758875094896,59112.95535756453,4.295332993077565,189.85254999579217,1.7399740758645428,0.7921610487601644,1.0988893150230288,0.8508529782067737,1.000706274894754,0.39890775252124555,0.3247547172294712,1.4787659261913046
ZTF20acdafau,SN Ia,191.74778928794677,0.005098737001674207,11.171957932502684,59122.45612643655,2.5682979314767325,24.615347372128813,4.249734975683524,1.0206878341577075,1.0486282630334247,0.8638811075339794,1.0000157374369167,0.9508674766260075,0.5216762681134084,2.3337572704001506
ZTF20acfasbq,SN Ia,85.10520572096488,0.003793804747476439,11.537200703695534,59122.87048597775,2.5587936771236004,22.272619914824283,2.8781204978972057,1.0252762188014817,1.038153010368525,0.5120599792278095,0.9999980151682439,0.9601508565205454,0.5175374174432645,2.1371916187155913
ZTF20acfdmex,SN II,75.68263869500288,0.009632712495948357,77.53561545135452,59166.11207569126,35.55336922872284,84.92935229818943,0.3657818310849144,1.0267729775787044,1.0344730871931662,0.9000447082732568,1.0014177588576443,0.946286577083636,0.5197163996890579,0.7586112342491311
ZTF20acfkyll,SN II,91.67678374863601,0.009654327770569161,44.08051093957475,59123.54669471223,23.01134392381908,148.44065231553014,0.988085228786538,1.024478849602321,1.044754867544583,1.890426418620021,1.00063856071573,0.9523091858099403,0.5202318928241039,0.8780624153958811
ZTF20acfkzcg,SN II,43.02451341181302,0.0001939992607418304,105.69687713923507,59103.54324930927,23.074999949718375,45.772149092345,1.894239769672881,1.0200988456520128,1.0413802721853798,0.004665271648646965,0.998984439218417,0.968280956182104,0.523633914473034,0.42537245578009897
ZTF20acfvgdp,SN II,46.33850888982592,0.009356980037486026,100.66237043123627,59160.28895457096,46.93772760051277,105.50955507951514,0.23817026969736416,1.0269897430226378,1.0346374308014428,0.6086008062364365,1.0012747082090034,0.9583831390647766,0.52598940851262,0.8527829701182652
ZTF20acgided,SN II,77.31892875210099,0.005452501904088739,71.40925401775723,59124.948418879256,0.9599079227560934,43.459384158045815,0.7047378420820898,1.0341071699472104,1.0263949159011925,0.4557381804585351,1.0000080650582415,0.9559129581445047,0.5104335460833362,0.7314024371906793
ZTF20acgnbvv,SN Ia,59.40318105249061,0.004877099926227129,7.001009799489144,59128.03927121095,3.13200406490768,23.646151681939273,1.7101653617531039,1.0204815450949645,1.0410982681907854,1.1465804745320394,1.0000227706641773,0.9551603989135004,0.5229428009726191,1.7009284665532187
ZTF20acgrvqo,SN Ia,963.9748979587898,0.008127542964447614,104.81238928276244,59030.874349827536,40.61589960854901,30.365428459755258,4.1945953737277275,1.1894925963951284,1.1111380475568446,1.1223448344184204,1.0000165981322966,1.0197441392149678,0.6561478130353684,1.3664392622974932
ZTF20achlced,SN Ia,2441.792628943899,0.0038129721295179124,8.705465729087255,59133.992942620054,2.4322965380287296,26.062425507334304,14.321203934994411,1.0211087857570682,0.9978904054657051,0.9856396335969382,1.0000106788675756,1.0047973777194397,0.5159859558279725,5.384741796821883
ZTF20achtzug,SN Ia,206.0110901271545,0.0024966382325274034,12.494137003202425,59135.98615560144,2.4921252521152044,23.10648838936808,4.623941869480492,1.0313294621553726,1.0360804586595278,0.1793643919803916,0.9999809282783239,0.9275643997223237,0.5221334868294638,2.293176687751278
ZTF20achupkw,SLSN-II,16.13452238706367,0.005699749436416655,38.057388106058845,59128.79963767173,9.48882054214457,174.25165728592697,0.2832708128330736,1.1745855060227024,0.9097712679523166,1.0959267736140754,1.0001138606555044,0.6555332312454079,0.6488709505464458,0.7126428688424141
ZTF20achusux,SN II,211.3128591993751,0.007376802024762361,1.8714900716188323,59155.70530560974,8.864957661889882,38.082916301225055,4.433569023557984,1.046381975748822,1.0527065731727463,0.7930100337171577,1.0000648105945298,0.9927508646269738,0.5371897272268084,1.4189795248619985
ZTF20achvmoj,SN Ia,100.67310059874409,0.008131876913355568,23.326810549334226,59135.42439759469,2.7290351347918986,18.544704790262756,3.321414459067997,1.023543775586718,1.0306980491830755,0.6703404976019374,1.000017094011232,0.9511503665250711,0.52290755739572,1.561725719010746
ZTF20aciievv,SN Ia,123.60136920535558,0.0039139989690800524,10.89492350782277,59140.20073421168,2.5305451236561365,21.57884346949595,3.519725118323423,1.026485826107199,1.0326552862396077,0.661152728649921,0.9999961790550592,0.9528032654416543,0.5222220809336284,2.0683557341270955
ZTF20acitoie,SN II,65.69012471537701,0.009709262010948355,90.9531538537289,59171.4180102343,38.27932356431566,74.26681433221368,2.3661095318809218,1.0216298975169091,1.0341628314386275,0.7972776124033449,1.0013449834803012,0.9453129732958926,0.5195363121374332,0.15071009865370105
ZTF20aciuakv,SN Ia,92.456136721612,0.006215705725278844,19.74290043381927,59138.713616472625,2.6664263871107456,18.579707014220137,3.5005157936664584,0.9958601538554805,1.0683804611646774,0.5242054277944208,0.9999942623263376,1.0201486079504312,0.4940693082682304,1.3661913865089945
ZTF20aciwcuz,SN II,2521.753518920962,0.008403620603541752,68.49188936855336,58659.08937583078,32.581222351417736,163.1543612865733,0.18483777599319218,0.9182270508964554,1.1311591418704214,1.2262734159554423,1.0002548073980644,1.1151922013084385,0.5255126010257783,0.6590969699680449
ZTF20acjbhhp,SN II,41.814342165391174,0.008979164197618355,67.58652557415644,59138.894155948845,2.0753736769810853,33.58681831908797,0.9155479802560111,1.018053551188076,1.0417200550027694,0.21179658009305696,1.0000159934855912,0.9465186615658548,0.5258180250986981,0.790339122714987
ZTF20acklcyp,SN IIn,117.51441182553054,0.00940169106279185,34.11630351198475,59266.49715020978,48.27509849256508,293.3998756143944,5.462635066864362,1.028173989175261,1.0388208772557772,2.37923137844116,1.003076056511635,0.9570155396599851,0.5258812629809756,1.1930412083701376
ZTF20acknpig,SN II,27.658001687219,0.0025973064710159807,85.24742387659299,59137.33806276703,4.67743380008307,89.40558541282303,0.40668772745598036,1.0255945938541957,1.0373493511825123,0.5939244321036123,1.0009077555103412,0.9616596149717029,0.5208278582911954,0.8347351775706171
ZTF20ackrqfi,SN Ia,70.2904444547733,0.00882819228174185,97.62469579835638,59085.028771312966,22.726370844706146,12.021900939675684,1.3694974920423322,0.9896711557839702,1.0255167325935086,0.580982042183507,0.9998198838120935,0.8543171326685999,0.5397198181578355,0.5267762723864859
ZTF20aclnqle,SLSN-II,17.198557375412115,0.0004773717361568993,88.71300602533188,59133.327600614866,38.51234490609697,149.17841275676076,0.0909985729512626,1.0264094135098605,1.0420428029993254,0.1397792105048482,0.9997680129429332,0.946012457989416,0.5226195237360054,0.8314129654925122
ZTF20acmaaan,SN II,50.29188141152524,0.008127242959604894,51.371071152021216,59149.77273583766,35.45286618898233,104.38483300127756,1.1347161975926625,1.2226623578419142,0.9960925285973863,1.6649570004819902,1.0009527734318002,0.9446292585802064,0.5751931208019345,1.1955400370003273
ZTF20acnvniw,SN IIn,6072.954726470719,0.007635747386231639,72.03937223789822,58319.90949383162,25.488476241863857,264.90939377692547,0.26819039928865274,1.0271433926457596,1.0308191674846925,1.3023585145639633,1.000161787390568,0.9604140036928697,0.5234624746950118,0.7924093344943514
